service_id,date,exception_type
1_907_1335_10_251_3,20260501,1
1_907_1335_10_251_3,20260815,1
1_907_1335_10_251_3,20261212,1
1_907_1335_10_251_3,20261102,1
1_907_1335_10_251_3,20261207,1
1_907_1335_10_251_3,20261208,1
1_907_1335_10_251_3,20261225,1
1_907_1335_10_251_3,20260422,1
1_907_1335_10_251_3,20260604,1
1_907_1335_10_252_3,20260101,1
1_907_1335_10_252_3,20260106,1
1_907_1335_10_252_3,20260228,1
1_907_1335_10_252_3,20260402,1
1_907_1335_10_252_3,20260403,1
1_907_1335_10_252_3,20260501,1
1_907_1335_10_252_3,20260815,1
1_907_1335_10_252_3,20261212,1
1_907_1335_10_252_3,20261102,1
1_907_1335_10_252_3,20261207,1
1_907_1335_10_252_3,20261208,1
1_907_1335_10_252_3,20261225,1
1_907_1335_10_252_3,20260422,1
1_907_1335_10_252_3,20260604,1
1_907_1335_10_253_3,20260101,1
1_907_1335_10_253_3,20260106,1
1_907_1335_10_253_3,20260228,1
1_907_1335_10_253_3,20260402,1
1_907_1335_10_253_3,20260403,1
1_907_1335_10_253_3,20260501,1
1_907_1335_10_253_3,20260815,1
1_907_1335_10_253_3,20261212,1
1_907_1335_10_253_3,20261102,1
1_907_1335_10_253_3,20261207,1
1_907_1335_10_253_3,20261208,1
1_907_1335_10_253_3,20261225,1
1_907_1335_10_253_3,20260422,1
1_907_1335_10_253_3,20260604,1
1_907_1335_10_255_3,20260101,1
1_907_1335_10_255_3,20260106,1
1_907_1335_10_255_3,20260228,1
1_907_1335_10_255_3,20260402,1
1_907_1335_10_255_3,20260403,1
1_907_1335_10_255_3,20260501,1
1_907_1335_10_255_3,20260815,1
1_907_1335_10_255_3,20261212,1
1_907_1335_10_255_3,20261102,1
1_907_1335_10_255_3,20261207,1
1_907_1335_10_255_3,20261208,1
1_907_1335_10_255_3,20261225,1
1_907_1335_10_255_3,20260422,1
1_907_1335_10_255_3,20260604,1
1_912_1351_6_425_3,20260101,1
1_912_1351_6_425_3,20260106,1
1_912_1351_6_425_3,20260228,1
1_912_1351_6_425_3,20260402,1
1_912_1351_6_425_3,20260403,1
1_912_1351_6_425_3,20260501,1
1_912_1351_6_425_3,20260815,1
1_912_1351_6_425_3,20261212,1
1_912_1351_6_425_3,20261102,1
1_912_1351_6_425_3,20261207,1
1_912_1351_6_425_3,20261208,1
1_912_1351_6_425_3,20261225,1
1_912_1351_6_425_3,20260422,1
1_912_1351_6_425_3,20260604,1
1_912_1351_6_427_3,20260101,1
1_912_1351_6_427_3,20260106,1
1_912_1351_6_427_3,20260228,1
1_912_1351_6_427_3,20260402,1
1_912_1351_6_427_3,20260403,1
1_912_1351_6_427_3,20260501,1
1_912_1351_6_427_3,20260815,1
1_912_1351_6_427_3,20261212,1
1_912_1351_6_427_3,20261102,1
1_912_1351_6_427_3,20261207,1
1_912_1351_6_427_3,20261208,1
1_912_1351_6_427_3,20261225,1
1_912_1351_6_427_3,20260422,1
1_912_1351_6_427_3,20260604,1
1_912_1354_6_234_3,20260101,1
1_912_1354_6_234_3,20260106,1
1_912_1354_6_234_3,20260228,1
1_912_1354_6_234_3,20260402,1
1_912_1354_6_234_3,20260403,1
1_912_1354_6_234_3,20260501,1
1_912_1354_6_234_3,20260815,1
1_912_1354_6_234_3,20261212,1
1_912_1354_6_234_3,20261102,1
1_912_1354_6_234_3,20261207,1
1_912_1354_6_234_3,20261208,1
1_912_1354_6_234_3,20261225,1
1_912_1354_6_234_3,20260422,1
1_912_1354_6_234_3,20260604,1
1_915_355_6_232_3,20260101,1
