trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
86584aeb-1858-4067-a0d4-21f80e0cc15a,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
99ae2238-5fe1-41f2-807f-8818d5c8ae73,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
551de39a-4488-43fc-9195-1bbc78e14d5f,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
08727f0b-c69f-495a-aacf-326e31cc3c65,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
53634611-d715-4a6c-8c98-e8e563b0b513,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
f4ed669f-5d01-43e5-9a7c-766df707798d,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
b46b59f4-107c-426c-b788-68c0c86c7791,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
8f21b732-8b1e-4bc2-bfa5-3ef8f4f66cff,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
f1a2d8d6-645c-4756-b9d5-40759e299cc0,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
99518645-93d6-4912-a2a8-5e8fc6c7cef8,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
70373869-a2a6-45cc-9899-cfa99cebe84d,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
45501629-cf4d-475a-9644-cd2ee4c600ac,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
62371e0c-c376-45e1-9491-c6990a899c35,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
e3ed685c-7dc1-47af-bcbb-930e6509a1f2,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
2d2f3daf-86a4-41ab-9715-00750c62a9ed,47191096-0a58-41fb-9ca4-3963d2c2a312,66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
