service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
6ec81bf7-44c5-4b98-99d9-389d644b69f6_9533d4a4-d180-411d-94e1-97ec5e460c92,1,1,1,1,0,0,0,20260907,20260913
66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_9533d4a4-d180-411d-94e1-97ec5e460c92,0,0,0,0,1,0,0,20260907,20260913
8cc552a0-4669-473b-9e86-052eb879142c_9533d4a4-d180-411d-94e1-97ec5e460c92,0,0,0,0,0,1,0,20260907,20260913
0c6aa415-c604-4695-a81a-6313d210d855_9533d4a4-d180-411d-94e1-97ec5e460c92,0,0,0,0,0,0,1,20260907,20260913
6ec81bf7-44c5-4b98-99d9-389d644b69f6_ff30cea5-e56c-4194-95d2-9724a0e8ff09,1,1,1,1,0,0,0,20260914,20271008
66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_ff30cea5-e56c-4194-95d2-9724a0e8ff09,0,0,0,0,1,0,0,20260914,20271008
8cc552a0-4669-473b-9e86-052eb879142c_ff30cea5-e56c-4194-95d2-9724a0e8ff09,0,0,0,0,0,1,0,20260914,20271008
0c6aa415-c604-4695-a81a-6313d210d855_ff30cea5-e56c-4194-95d2-9724a0e8ff09,0,0,0,0,0,0,1,20260914,20271008
