POINT_X;POINT_Y;NOMBRE;CODVIA;TIPOVIA;PARTICULA;NOMBREVIA;ACCTEXTO;DISTRITO;BARRIO;CP;USO;TIPO
-3.60320289115;37.1721222909;PALACIO LOS PATOS;"00650";CALLE;;GENERAL NARVAEZ;"2";CENTRO;CENTRO-SAGRARIO;"18002";PÚBLICO;SUBTERRANEO
-3.60436630211;37.1784980971;GRAN CAPITÁN;"00666";CALLE;;GRAN CAPITAN;"10";CENTRO;CENTRO-SAGRARIO;"18002";PÚBLICO;SUBTERRANEO
-3.60529503797;37.1685857855;GARAJE LAS FLORES;"08281";CALLE;LAS;FLORES;"4";RONDA;FIGARES;"18004";PÚBLICO;SUBTERRANEO
-3.6073317904;37.1681609059;C.C. NEPTUNO;"01002";CALLE;;NEPTUNO;"6";RONDA;FIGARES;"18004";PÚBLICO;SUBTERRANEO
-3.59763631532;37.1705980177;C.C. EL CORTE INGLÉS;"00314";CALLE;;CARRERA DEL GENIL;"20";CENTRO;SAN MATIAS-REALEJO;"18005";PÚBLICO;SUBTERRANEO
-3.59926035098;37.1716817177;PUERTA ORIENTAL MONTES ORIENTALES;"09914";CALLE;;PINO;"1";CENTRO;SAN MATIAS-REALEJO;"18005";PÚBLICO;SUBTERRANEO
-3.60230667602;37.174834991;GARAJE LA PAZ;"01099";CALLE;;PAZ;"5";CENTRO;CENTRO-SAGRARIO;"18002";PÚBLICO;SUBTERRANEO
-3.60830583484;37.1727765748;GARAJE SIERRA NEVADA;"01264";CAMINO;DE;RONDA;"91";RONDA;CAMINO DE RONDA;"18004";PÚBLICO;SUBTERRANEO
-3.61318748787;37.1780135211;C.C. HIPERCOR;"10454";PLAZA;;GUITARRISTA MANUEL CANO;"3";RONDA;CAMINO DE RONDA;"18004";PÚBLICO;SUBTERRANEO
-3.61083118177;37.17953331;GARAJE UNIVERSIDAD;"00660";CALLE;;GONZALO GALLAS;"15";RONDA;CAMINO DE RONDA;"18003";PÚBLICO;SUBTERRANEO
-3.59495544474;37.1710939303;GARAJE LA CARRERA;"01011";CALLE;;NICUESA;"7";CENTRO;SAN MATIAS-REALEJO;"18009";PÚBLICO;SUBTERRANEO
-3.59523822314;37.1724570185;G. TREX (PLAZA DE LOS CAMPOS);"08544";CALLEJON;DE;SANTO DOMINGO;"2";CENTRO;SAN MATIAS-REALEJO;"18009";PÚBLICO;SUBTERRANEO
-3.59776782071;37.1770671725;CETTI MERIEM;"00360";CALLE;;CETTI MERIEM;"4";CENTRO;CENTRO-SAGRARIO;"18010";PRIVADO;SUBTERRANEO
-3.60556892718;37.1854051983;LA PIRÁMIDE;"09082";CALLE;;VIDRIO DE SAN LAZARO;"1";BEIRO;P. TOROS-DOCTORES-S. LAZARO;"18012";PRIVADO;SUBTERRANEO
-3.59862458485;37.1575013426;MARGARITA XIRGU;"00463";CALLE;;CRUCERO BALEARES;"21";ZAIDIN;ZAIDIN-VERGELES;"18007";PÚBLICO;SUBTERRANEO
-3.59237754013;37.1593285259;PALENCIA;"09023";CALLE;;PROFESOR MANUEL GARZON PAREJA;SN;GENIL;CERVANTES;"18008";PÚBLICO;SUBTERRANEO
-3.59843765602;37.15312516;POETA GRACIÁN (ANTIGUA ROBER);"15257";PLAZA;;POETA JAVIER EGEA;SN;ZAIDIN;ZAIDIN-VERGELES;"18007";RESIDENTES;SUBTERRANEO
-3.6033694433;37.1605274308;CRUZ DE LAGOS;"08794";CALLE;;GRABADOR DAVID ROBERTS;"2";ZAIDIN;ZAIDIN-VERGELES;"18006";PÚBLICO;SUBTERRANEO
-3.5915529299;37.1829669843;CENTRO ACT. COMÚN ALBAICÍN;"01046";CALLE;;PAGES;"2";ALBAICIN;ALBAICIN;"18010";RESIDENTES;SUBTERRANEO
-3.59541532751;37.1811820362;SANTA ISABEL LA REAL;"08539";CALLE;;SANTA ISABEL LA REAL;"19";ALBAICIN;ALBAICIN;"18010";RESIDENTES;SUBTERRANEO
-3.60552447135;37.1795627224;SEVERO OCHOA-SAN JERÓNIMO;"09816";PLAZA;;SOR CRISTINA DE LA CRUZ DE ARTEAGA;"3";CENTRO;CENTRO-SAGRARIO;"18001";PÚBLICO;SUBTERRANEO
-3.60600601219;37.1671468413;PARQUE GENIL/ARABIAL;"15335";PLAZA;;GERARDO CUERVA;"1";RONDA;FIGARES;"18004";PÚBLICO;SUBTERRANEO
-3.60849590213;37.1684810947;TORRES NEPTUNO;"01002";CALLE;;NEPTUNO;"12";RONDA;FIGARES;"18004";PÚBLICO;SUBTERRANEO
-3.60963807264;37.1779118825;ALBERT EINSTEIN;"08234";PLAZA;;ALBERT EINSTEIN;SN;RONDA;CAMINO DE RONDA;"18002";RESIDENTES;SUBTERRANEO
-3.6057294916;37.1905450289;ANTIGUO LOS CÁRMENES;"15367";PLAZA;DE LA;CIUDAD DE LOS CARMENES;"6";BEIRO;CERCADO BAJO DE CARTUJA;"18013";PÚBLICO;SUBTERRANEO
